fix_required,reasons,slug,status
,,accountants-and-auditors,CONTROL_UNCHANGED
,,actors,CONTROL_UNCHANGED
,,agricultural-engineers,CONTROL_UNCHANGED
,,aerospace-engineers,CONTROL_UNCHANGED
,,registered-nurses,CONTROL_UNCHANGED
,,anesthesiologists,CONTROL_UNCHANGED
,,high-school-teachers,CONTROL_UNCHANGED
,,administrative-services-managers,CONTROL_UNCHANGED
,,advertising-sales-agents,CONTROL_UNCHANGED
,,art-directors,CONTROL_UNCHANGED
,,aircraft-mechanics-and-service-technicians,CONTROL_UNCHANGED
,,electricians,CONTROL_UNCHANGED
,,cashiers,CONTROL_UNCHANGED
,,waiters-and-waitresses,CONTROL_UNCHANGED
,,data-scientists,CONTROL_UNCHANGED
,,web-developers,CONTROL_UNCHANGED
,,computer-programmers,CONTROL_UNCHANGED
,,project-management-specialists,CONTROL_UNCHANGED
,,agricultural-workers,CONTROL_UNCHANGED
,,animal-caretakers,CONTROL_UNCHANGED
,,architects-except-landscape-and-naval,CONTROL_UNCHANGED
,,airline-pilots-copilots-and-flight-engineers,CONTROL_UNCHANGED
,,air-traffic-controllers,CONTROL_UNCHANGED
,,music-therapists,CONTROL_UNCHANGED
,,surgical-technologists,CONTROL_UNCHANGED
,,civil-engineers,CONTROL_UNCHANGED
,,mechanical-engineers,CONTROL_UNCHANGED
,,elementary-school-teachers-except-special-education,CONTROL_UNCHANGED
,,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,CONTROL_UNCHANGED
,,chefs-and-head-cooks,CONTROL_UNCHANGED
,,actuaries,CONTROL_UNCHANGED
,,acupuncturists,CONTROL_UNCHANGED
,,acute-care-nurses,CONTROL_UNCHANGED
,,adapted-physical-education-specialists,CONTROL_UNCHANGED
,,adhesive-bonding-machine-operators-and-tenders,CONTROL_UNCHANGED
,,administrative-law-judges-adjudicators-and-hearing-officers,CONTROL_UNCHANGED
,,adult-literacy-and-ged-teachers,CONTROL_UNCHANGED
,,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,CONTROL_UNCHANGED
,,advanced-practice-psychiatric-nurses,CONTROL_UNCHANGED
,,advertising-and-promotions-managers,CONTROL_UNCHANGED
,,advertising-promotions-and-marketing-managers,CONTROL_UNCHANGED
,,aerospace-engineering-and-operations-technicians,CONTROL_UNCHANGED
,,agents-and-business-managers-of-artists-performers-and-athletes,CONTROL_UNCHANGED
,,agricultural-and-food-science-technicians,CONTROL_UNCHANGED
,,agricultural-and-food-scientists,CONTROL_UNCHANGED
,,agricultural-equipment-operators,CONTROL_UNCHANGED
,,agricultural-inspectors,CONTROL_UNCHANGED
,,agricultural-sciences-teachers-postsecondary,CONTROL_UNCHANGED
,,agricultural-technicians,CONTROL_UNCHANGED
,,air-crew-members,CONTROL_UNCHANGED
,,air-crew-officers,CONTROL_UNCHANGED
,,aircraft-and-avionics-equipment-mechanics-and-technicians,CONTROL_UNCHANGED
,,aircraft-cargo-handling-supervisors,CONTROL_UNCHANGED
,,aircraft-launch-and-recovery-officers,CONTROL_UNCHANGED
,,aircraft-launch-and-recovery-specialists,CONTROL_UNCHANGED
,,aircraft-service-attendants,CONTROL_UNCHANGED
,,aircraft-structure-surfaces-rigging-and-systems-assemblers,CONTROL_UNCHANGED
,,airfield-operations-specialists,CONTROL_UNCHANGED
,,airline-and-commercial-pilots,CONTROL_UNCHANGED
,,allergists-and-immunologists,CONTROL_UNCHANGED
,,ambulance-drivers-and-attendants-except-emergency-medical-technicians,CONTROL_UNCHANGED
,,amusement-and-recreation-attendants,CONTROL_UNCHANGED
,,anesthesiologist-assistants,CONTROL_UNCHANGED
,,animal-breeders,CONTROL_UNCHANGED
,,animal-care-and-service-workers,CONTROL_UNCHANGED
,,animal-control-workers,CONTROL_UNCHANGED
,,animal-scientists,CONTROL_UNCHANGED
,,animal-trainers,CONTROL_UNCHANGED
,,announcers,CONTROL_UNCHANGED
,,anthropologists-and-archeologists,CONTROL_UNCHANGED
,,anthropology-and-archeology-teachers-postsecondary,CONTROL_UNCHANGED
,,appraisers-of-personal-and-business-property,CONTROL_UNCHANGED
,,arbitrators-mediators-and-conciliators,CONTROL_UNCHANGED
,,architects,CONTROL_UNCHANGED
,,architectural-and-civil-drafters,CONTROL_UNCHANGED
,,architectural-and-engineering-managers,CONTROL_UNCHANGED
,,architecture-teachers-postsecondary,CONTROL_UNCHANGED
,,archivists,CONTROL_UNCHANGED
,,curators-museum-technicians-and-conservators,CONTROL_UNCHANGED
,,area-ethnic-and-cultural-studies-teachers-postsecondary,CONTROL_UNCHANGED
,,armored-assault-vehicle-crew-members,CONTROL_UNCHANGED
,,armored-assault-vehicle-officers,CONTROL_UNCHANGED
,,art-therapists,CONTROL_UNCHANGED
,,art-drama-and-music-teachers-postsecondary,CONTROL_UNCHANGED
,,artillery-and-missile-crew-members,CONTROL_UNCHANGED
,,artillery-and-missile-officers,CONTROL_UNCHANGED
,,assemblers-and-fabricators,CONTROL_UNCHANGED
,,astronomers,CONTROL_UNCHANGED
,,athletes-and-sports-competitors,CONTROL_UNCHANGED
,,athletic-trainers,CONTROL_UNCHANGED
,,atmospheric-and-space-scientists,CONTROL_UNCHANGED
,,atmospheric-scientists-including-meteorologists,CONTROL_UNCHANGED
,,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,CONTROL_UNCHANGED
,,audio-and-video-technicians,CONTROL_UNCHANGED
,,audiologists,CONTROL_UNCHANGED
,,audiovisual-equipment-installers-and-repairers,CONTROL_UNCHANGED
,,automotive-and-watercraft-service-attendants,CONTROL_UNCHANGED
,,automotive-body-and-glass-repairers,CONTROL_UNCHANGED
,,automotive-engineering-technicians,CONTROL_UNCHANGED
,,automotive-engineers,CONTROL_UNCHANGED
,,automotive-glass-installers-and-repairers,CONTROL_UNCHANGED
,,automotive-service-technicians-and-mechanics,CONTROL_UNCHANGED
,,aviation-inspectors,CONTROL_UNCHANGED
,,avionics-technicians,CONTROL_UNCHANGED
,,baggage-porters-and-bellhops,CONTROL_UNCHANGED
,,bailiffs,CONTROL_UNCHANGED
,,bakers,CONTROL_UNCHANGED
,,barbers,CONTROL_UNCHANGED
,,barbers-hairstylists-and-cosmetologists,CONTROL_UNCHANGED
,,baristas,CONTROL_UNCHANGED
,,bartenders,CONTROL_UNCHANGED
,,bicycle-repairers,CONTROL_UNCHANGED
,,bill-and-account-collectors,CONTROL_UNCHANGED
,,billing-and-posting-clerks,CONTROL_UNCHANGED
,,biochemists-and-biophysicists,CONTROL_UNCHANGED
,,biomedical-engineers,CONTROL_UNCHANGED
,,biofuels-processing-technicians,CONTROL_UNCHANGED
,,biofuels-production-managers,CONTROL_UNCHANGED
,,biofuels-biodiesel-technology-and-product-development-managers,CONTROL_UNCHANGED
,,bioinformatics-scientists,CONTROL_UNCHANGED
,,bioinformatics-technicians,CONTROL_UNCHANGED
,,biological-science-teachers-postsecondary,CONTROL_UNCHANGED
,,biological-technicians,CONTROL_UNCHANGED
,,biologists,CONTROL_UNCHANGED
,,biomass-plant-technicians,CONTROL_UNCHANGED
,,biomass-power-plant-managers,CONTROL_UNCHANGED
,,biostatisticians,CONTROL_UNCHANGED
,,blockchain-engineers,CONTROL_UNCHANGED
,,boilermakers,CONTROL_UNCHANGED
,,bookkeeping-accounting-and-auditing-clerks,CONTROL_UNCHANGED
,,brickmasons-and-blockmasons,CONTROL_UNCHANGED
,,bridge-and-lock-tenders,CONTROL_UNCHANGED
,,broadcast-announcers-and-radio-disc-jockeys,CONTROL_UNCHANGED
,,broadcast-technicians,CONTROL_UNCHANGED
,,broadcast-and-sound-engineering-technicians,CONTROL_UNCHANGED
,,brokerage-clerks,CONTROL_UNCHANGED
,,brownfield-redevelopment-specialists-and-site-managers,CONTROL_UNCHANGED
,,budget-analysts,CONTROL_UNCHANGED
,,bus-and-truck-mechanics-and-diesel-engine-specialists,CONTROL_UNCHANGED
,,bus-drivers,CONTROL_UNCHANGED
,,bus-drivers-school,CONTROL_UNCHANGED
,,bus-drivers-transit-and-intercity,CONTROL_UNCHANGED
,,business-continuity-planners,CONTROL_UNCHANGED
,,business-intelligence-analysts,CONTROL_UNCHANGED
,,business-teachers-postsecondary,CONTROL_UNCHANGED
,,butchers-and-meat-cutters,CONTROL_UNCHANGED
,,buyers-and-purchasing-agents-farm-products,CONTROL_UNCHANGED
,,cabinetmakers-and-bench-carpenters,CONTROL_UNCHANGED
,,calibration-technologists-and-technicians,CONTROL_UNCHANGED
,,camera-and-photographic-equipment-repairers,CONTROL_UNCHANGED
,,camera-operators-television-video-and-film,READY
,,captains-mates-and-pilots-of-water-vessels,READY
,,cardiovascular-technologists-and-technicians,READY
,,career-and-technical-education-teachers,READY
,,career-technical-education-teachers-middle-school,READY
,,career-technical-education-teachers-postsecondary,READY
,,career-technical-education-teachers-secondary-school,READY
,,cargo-and-freight-agents,READY
,,carpenters,READY
,,carpet-installers,READY
,,cartographers-and-photogrammetrists,READY
,,cement-masons-and-concrete-finishers,READY
,,chemical-engineers,READY
,,chemical-equipment-operators-and-tenders,READY
,,chemical-plant-and-system-operators,READY
,,chemical-technicians,READY
,,chemistry-teachers-postsecondary,READY
,,chemists,READY
,,chemists-and-materials-scientists,READY
,,chief-executives,READY
,,chief-sustainability-officers,READY
,,child-family-and-school-social-workers,READY
,,childcare-workers,READY
,,chiropractors,READY
,,choreographers,READY
,,civil-engineering-technicians,READY
,,claims-adjusters-appraisers-examiners-and-investigators,READY
,,cleaners-of-vehicles-and-equipment,READY
,,cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,READY
,,clergy,READY
,,climate-change-policy-analysts,READY
,,clinical-and-counseling-psychologists,READY
,,clinical-data-managers,READY
,,clinical-laboratory-technologists-and-technicians,READY
,,clinical-neuropsychologists,READY
,,clinical-nurse-specialists,READY
,,clinical-research-coordinators,READY
,,coaches-and-scouts,READY
,,coating-painting-and-spraying-machine-setters-operators-and-tenders,READY
,,coil-winders-tapers-and-finishers,READY
,,coin-vending-and-amusement-machine-servicers-and-repairers,READY
,,command-and-control-center-officers,READY
,,command-and-control-center-specialists,READY
,,commercial-and-industrial-designers,READY
,,commercial-divers,READY
,,commercial-pilots,READY
,,communications-teachers-postsecondary,READY
,,community-health-workers,READY
,,compensation-and-benefits-managers,READY
,,compensation-benefits-and-job-analysis-specialists,READY
