source_id,category,title,authors_or_org,year,DOI_or_URL,source_type,verification_level,claim_supported,how_used,credibility_score,access_date,competitor_url,page_type,coverage_observed,gap_implication,do_not_copy_warning,inference_note
A1,academic,The next Big Five Inventory (BFI-2): Developing and assessing a hierarchical model with 15 facets,Christopher J. Soto; Oliver P. John,2017,https://doi.org/10.1037/pspp0000096,peer_reviewed_paper,doi_metadata_verified,BFI-2 supports hierarchical Big Five domains and facet-level trait language.,Domain and facet framing for Big Five V1 packages.,5,2026-06-14,,,,,,
A2,academic,The Big Five Inventory-2 (BFI-2),Colby College Personality Lab / Christopher J. Soto,2017,https://www.colby.edu/academics/departments-and-programs/psychology/research-opportunities/personality-lab/the-bfi-2/,official_scale_documentation,official_doc_verified,BFI-2 documentation identifies broad domains and facet labels.,Plain-language trait labels and method boundary.,5,2026-06-14,,,,,,
A3,academic,Between facets and domains: 10 aspects of the Big Five,Colin G. DeYoung; Lena C. Quilty; Jordan B. Peterson,2007,https://doi.org/10.1037/0022-3514.93.5.880,peer_reviewed_paper,doi_metadata_verified,The Big Five can be described at aspect level between domains and facets.,Supports non-type mid-layer explanation and domain nuance.,5,2026-06-14,,,,,,
A4,academic,International Personality Item Pool Home,International Personality Item Pool,current,https://ipip.ori.org/,official_measure_repository,official_doc_verified,IPIP provides public-domain personality scale ecosystem and Big Five-related measurement resources.,Measurement ecosystem boundary; no item copying.,4,2026-06-14,,,,,,
A5,academic,Personality structure: Emergence of the five-factor model,Robert R. McCrae; Oliver P. John,1992,https://doi.org/10.1146/annurev.ps.43.020192.002221,peer_reviewed_review,doi_metadata_verified,Five-factor model summarizes personality as broad continuous dimensions.,Dimensional-not-type framing across all packages.,5,2026-06-14,,,,,,
A6,academic,Openness/Intellect: A Dimension of Personality Reflecting Cognitive Exploration,Colin G. DeYoung,2015,https://www.cambridge.org/core/books/cambridge-handbook-of-creativity-and-personality-research/opennessintellect/5F06D70F0FE4A53C2530522727762A49,academic_book_chapter_listing,abstract_verified,"Openness/Intellect relates to cognitive exploration, imagination, aesthetics, and ideas.",Openness package examples without intelligence claims.,4,2026-06-14,,,,,,
A7,academic,The development of markers for the Big-Five factor structure,Lewis R. Goldberg,1992,https://doi.org/10.1037/1040-3590.4.1.26,peer_reviewed_paper,doi_metadata_verified,Lexical Big Five markers support broad trait-factor language.,General Big Five construct explanation.,4,2026-06-14,,,,,,
A8,academic,Measuring thirty facets of the Five Factor Model with a 120-item public domain inventory,John A. Johnson,2014,https://doi.org/10.1016/j.jrp.2014.05.003,peer_reviewed_paper,doi_metadata_verified,A public-domain inventory can represent 30 narrower Five Factor Model facets.,Facet hub overview and no facet-detail-page boundary.,4,2026-06-14,,,,,,
A9,academic,Revised NEO Personality Inventory professional manual,Paul T. Costa; Robert R. McCrae,1992,https://www.researchgate.net/publication/240133762_Revised_NEO_Personality_Inventory_NEO_PI-R_and_NEO_Five-Factor_Inventory_NEO-FFI_Professional_Manual,manual_listing,metadata_verified,NEO model popularized domain and facet organization including neuroticism and emotional stability language.,Facet and emotional-stability caveat.,3,2026-06-14,,,,,,
